,year,Suicide_rate_per_100k
0,1985,11.507335921444685
1,1986,11.716562160100937
2,1987,11.583429836497425
3,1988,11.481514107696295
4,1989,13.075652716124424
5,1990,13.184123141364283
6,1991,13.290036494673775
7,1992,13.473570250445576
8,1993,14.477430013643854
9,1994,14.983896309854323
10,1995,15.302227830617989
11,1996,14.842675800066186
12,1997,14.136594182299039
13,1998,14.46752249294399
14,1999,14.418166650163379
15,2000,14.218987981593715
16,2001,14.277564783001951
17,2002,14.054529230030578
18,2003,13.929009921042416
19,2004,13.80097220678577
20,2005,13.5093490704526
21,2006,12.676401748404448
22,2007,12.551757061993971
23,2008,12.654216998237864
24,2009,12.320792687174695
25,2010,11.951250148595177
26,2011,11.86357323019787
27,2012,12.032546293695317
28,2013,11.808460557589012
29,2014,11.661993547495705
30,2015,11.474887431996668
